SMILES,LogS,Temperature_K,Compound_Name,CAS,PubChem_CID,FDA_Approved,Source,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotBonds,NumAromRings,HeavyAtomCount,RingCount,FractionCSP3
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,-3.8173179423185912,328.2,Isoimperatorin,482-45-1,68081.0,No,10.1007/s10953-012-9917-1,270.284,3.8842000000000025,52.580000000000005,0,4,3,3,20,3,0.1875
O=C(O)CCC(=O)O,-0.6628856285605228,278.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.5634352205609505,283.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.3895204692462299,288.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.3232861430010891,293.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.2395836741885995,298.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.1481729844366333,303.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,-0.0814974625518441,308.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,0.1108701793808843,313.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,0.1561003510162964,318.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,0.2570107234792843,323.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,0.3153106764463731,328.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
O=C(O)CCC(=O)O,0.3756421702453211,333.15,Succinic acid,110-15-6,1110.0,No,10.1007/s10953-012-9951-z,118.088,-0.0642,74.6,2,2,3,0,8,0,0.5
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.806701092177959,288.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.781176997846151,293.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.736433651919329,298.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.710738063788752,303.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.6845509189557655,308.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.650714070740404,313.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.611059056707237,318.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.582705494459093,323.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.537535881430385,328.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.489205693627997,333.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
CC(=O)C1=C(O)C=C2Oc3c(C(C)=O)c(O)c(C)c(O)c3[C@]2(C)C1=O,-4.4437657125339705,338.15,(+)-usnic acid,7562-61-0,442614.0,No,10.1007/s10953-013-0010-1,344.3190000000001,2.12662,121.13,3,7,2,1,25,3,0.2777777777777778
COC(=O)NCCCCCCNC(=O)OC,-2.463798757927416,298.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-2.417012098437729,300.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-2.3593167308286387,303.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-2.232882871859845,308.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-2.0943126186808603,313.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-1.9919510570150631,318.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-1.8629849395737448,323.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-1.731675139693388,328.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
COC(=O)NCCCCCCNC(=O)OC,-1.6206341953821506,333.15,Hexamethylene bis(methylcarbamate),6030-54-2,235165.0,No,10.1007/s10953-014-0160-9,232.28,1.2588,76.66000000000001,2,4,7,0,16,0,0.8
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.694530103232565,278.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.6817170202741583,283.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.6660588117775186,288.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.6468002648037148,293.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.627489228187036,298.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.584486205497824,303.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.542208847244692,308.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.491845016621935,313.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
O=C([O-])CCC(=O)[O-].[Na+].[Na+],-2.4416524874272905,318.15,Sodium succinate,150-90-3,9020.0,No,10.1007/s10953-014-0168-1,162.052,-8.725600000000004,80.25999999999999,0,4,3,0,10,0,0.5
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.655317366562111,298.2,Ketoconazole,65277-42-1,456201.0,No,10.1007/s10953-014-0171-6,531.4399999999999,4.205800000000003,69.06,0,6,7,3,36,5,0.3846153846153846
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.55935237062745,303.2,Ketoconazole,65277-42-1,456201.0,No,10.1007/s10953-014-0171-6,531.4399999999999,4.205800000000003,69.06,0,6,7,3,36,5,0.3846153846153846
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.560299492145431,308.2,Ketoconazole,65277-42-1,456201.0,No,10.1007/s10953-014-0171-6,531.4399999999999,4.205800000000003,69.06,0,6,7,3,36,5,0.3846153846153846
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.415120561150434,313.2,Ketoconazole,65277-42-1,456201.0,No,10.1007/s10953-014-0171-6,531.4399999999999,4.205800000000003,69.06,0,6,7,3,36,5,0.3846153846153846
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.306927275501092,318.2,Ketoconazole,65277-42-1,456201.0,No,10.1007/s10953-014-0171-6,531.4399999999999,4.205800000000003,69.06,0,6,7,3,36,5,0.3846153846153846
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-4.256916894334066,298.15,Naringenin,480-41-1,439246.0,No,10.1007/s10953-016-0526-2,272.25600000000003,2.5099000000000014,86.99000000000001,3,5,1,2,20,3,0.1333333333333333
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.6472361810435,278.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.571507379407477,283.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.492065312450259,288.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.411957043852115,293.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.32795823674314,298.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1,-4.241288801145489,303.2,Cefpiramide,70797-11-4,636405.0,No,10.1007/s10953-017-0664-1,612.6500000000003,-0.0855799999999992,212.49999999999997,5,11,9,3,42,5,0.28
CC(=O)CCc1ccc(O)cc1,-1.5565773684684363,283.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-1.4106231548837525,288.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-1.3017787997061527,293.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-1.215046656599444,298.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-1.110791094419407,303.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-1.0270469245145624,308.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CC(=O)CCc1ccc(O)cc1,-0.9358940175664374,313.15,4-(4-hydroxyphenyl)-2-butanone (raspberry ketone),5471-51-2,21648.0,No,10.1007/s10953-017-0681-0,164.204,1.9138,37.3,1,2,3,1,12,1,0.3
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-3.0605714935720383,278.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-2.9448500592181768,283.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-2.8327679245940978,288.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-2.717070251099455,293.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-2.614631652466106,298.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,-2.5156432049393938,303.15,Cefmetazole acid,56796-20-4,42008.0,Yes,10.1007/s10953-018-0758-4,471.54600000000016,-0.7283199999999983,163.32999999999998,2,11,9,1,30,3,0.5333333333333333
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,-1.045428153387727,278.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,-0.7478632143518303,283.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,-0.5172554269376922,288.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,-0.3217428968201039,293.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,-0.1206806497219692,298.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,0.082280993546717,303.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,0.2935264107025013,308.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.Cl,0.4492468325039423,313.15,Valnemulin hydrochloride,133868-46-9,60195218.0,No,10.1007/s10953-019-00861-7,601.2940000000004,4.9260000000000055,118.72,3,7,9,0,40,3,0.8387096774193549
